gse	year	oa	doi	src	taxon	title
GSE327273	2026	Y	10.1111/pbi.70644	geo	Escherichia coli	Stepwise DNA unwinding gates TnpB genome-editing activity
GSE285334	2026	N	10.1016/j.molcel.2026.03.029	geo+lit	Homo sapiens	Simultaneous mapping of RNA secondary, tertiary, and quaternary structure in living cells by multi-site DMS probing II
GSE285333	2026	N	10.1016/j.molcel.2026.03.029	geo+lit	Homo sapiens; Escherichia coli; Tetrahymena	Simultaneous mapping of RNA secondary, tertiary, and quaternary structure in living cells by multi-site DMS probing I
GSE271937	2025	Y	10.1038/s41588-025-02347-3	geo	Escherichia coli	DNA language models reveal the architecture of nucleotide dependencies in genomes
GSE255779	2025	N	10.1016/j.molcel.2025.01.017	geo	Homo sapiens	The integrated stress response finetunes 18S nonfunctional rRNA decay (DMS-MaPseq)
GSE254264	2025	N	10.1016/j.molcel.2025.02.025	geo+lit	Saccharomyces cerevisiae	Rapid folding of nascent RNA regulates eukaryotic RNA biogenesis
GSE256185	2025	N	10.1016/j.molcel.2024.11.030	geo	Homo sapiens; synthetic construct	Quantitative profiling of human translation initiation reveals elements that potently regulate endogenous and therapeuti
GSE244468	2025	Y	10.1038/s41594-024-01468-3	geo	Human immunodeficiency virus 1; Homo sapiens	The translational landscape of HIV-1 infected cells reveals key gene regulatory principles
GSE270001	2025	Y	10.1038/s41467-025-59657-7	geo	Powassan virus	 Tick-borne flavivirus exoribonuclease-resistant RNAs contain a double loop structure
GSE239954	2025	Y	10.1093/nar/gkaf089	geo	synthetic construct	Characterization of group I introns in generating circular RNAs as vaccines
GSE283716	2025	Y	10.1093/nar/gkaf433	geo+lit	Homo sapiens	Structural determinants of inverted Alu-mediated backsplicing revealed by -MaP and -JuMP
GSE248680	2025	N	10.1038/s41587-024-02204-4	geo	Mus musculus; synthetic construct	Therapeutic application of circular RNA aptamers in a mouse model of psoriasis
GSE248679	2025	N	10.1038/s41587-024-02204-4	geo	synthetic construct	circSHAPE-MaP of EPIC
GSE246246	2025	Y	10.1093/nar/gkaf310	geo	Gaussia princeps (in: crustaceans)	NicOPURE: Nickless RNA Circularization and One-Step Purification with Engineered Group II Introns and Cyclizing UTRs
GSE264057	2025	Y	10.1261/rna.080310.124	geo	Saccharomyces cerevisiae	Cellular translational enhancer elements that recruit eukaryotic initiation factor 3
GSE252404	2025	Y	10.1016/j.celrep.2024.115174	geo	Homo sapiens	DDX50 cooperates with STAU1 to effect stabilization of pro-differentiation RNAs [DMS-Seq]
GSE279023	2025	N	10.1038/s41556-024-01604-7	geo	Homo sapiens	Functional screen for mediators of onco-mRNA translation specificity [II]
GSE255740	2025	N	10.1038/s41556-024-01604-7	geo	Homo sapiens	Functional screen for mediators of onco-mRNA translation specificity [DMS-seq]
GSE255703	2025	N	10.1038/s41556-024-01604-7	geo	Homo sapiens	Functional screen for mediators of onco-mRNA translation specificity [CLIP-seq]
GSE255702	2025	N	10.1038/s41556-024-01604-7	geo	Homo sapiens	Functional screen for mediators of onco-mRNA translation specificity [polysome-seq]
GSE255533	2025	N	10.1038/s41556-024-01604-7	geo	Homo sapiens	Functional screen for mediators of onco-mRNA translation specificity
GSE188445	2025	Y	10.1038/s41594-024-01393-5	geo	Homo sapiens	Structural features within the NORAD long noncoding RNA underlie efficient repression of Pumilio activity
GSE255784	2025	N	10.1016/j.molcel.2025.01.017	geo	Homo sapiens	The integrated stress response finetunes 18S nonfunctional rRNA decay
GSE283338	2025	N	10.1021/acs.biochem.5c00340	geo	Homo sapiens	Proximity mediated effects of RNA regulatory proteins (mRNA as a proxisome).
GSE302009	2025	N	10.1016/j.cell.2025.09.014	lit		Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.
GSE302008	2025	N	10.1016/j.cell.2025.09.014	lit		Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.
GSE302007	2025	N	10.1016/j.cell.2025.09.014	lit		Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.
GSE302006	2025	N	10.1016/j.cell.2025.09.014	lit		Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.
GSE302005	2025	N	10.1016/j.cell.2025.09.014	lit		Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.
GSE284594	2025	N	10.1016/j.cell.2025.09.014	lit		Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.
GSE284593	2025	N	10.1016/j.cell.2025.09.014	lit		Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.
GSE284592	2025	N	10.1016/j.cell.2025.09.014	lit		Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.
GSE286293	2025	Y	10.1021/jacsau.5c01280	lit		A Small Cationic Probe for Accurate, Punctate Discovery of RNA Tertiary Structure.
GSE287035	2025	Y	10.1016/j.ncrna.2025.05.010	lit		Computational discovery of conserved RNA structures and functional characterization of a structured lncRNA in &lt;i&gt;Leishmania 
GSE288523	2025	N	10.1073/pnas.2504034122	lit		CAR-SPLASH identifies nascent pre-mRNA structures implicated in kinetic coupling and alternative splicing.
GSE262542	2025	N	10.1261/rna.080215.124	lit		Evaluation of novel computational methods to identify RNA-binding protein footprints from structural data.
GSE230495	2025	N	10.1261/rna.080288.124	lit		OpenASO: RNA Rescue-designing splice-modulating antisense oligonucleotides through community science.
GSE263115	2025	Y	10.1136/jitc-2024-010024	lit		Comprehensive immunophenotyping of gastric adenocarcinoma identifies an inflamed class of tumors amenable to immunotherapies.
GSE302532	2025	Y	10.1002/jnr.70084	lit		Moderate Chronic Treadmill Exercise Slows Dopaminergic Neuron Loss in a Rat Model of Parkinson's Disease and Alters RNA Content of
GSE243520	2025	N	10.1016/j.ymthe.2025.01.049	lit		FKBP51 inhibition ameliorates neurodegeneration and motor dysfunction in the neuromelanin-SNCA mouse model of Parkinson's disease.
GSE289241	2025	Y	10.1038/s41531-025-00981-6	lit		Differential memory enrichment of cytotoxic CD4 T cells in Parkinson's disease patients reactive to α-synuclein.
GSE228446	2024	Y	10.1073/pnas.2312080121	geo+lit	Aedes albopictus; Chlorocebus aethiops	West Nile virus genome harbors essential riboregulatory elements with conserved and host-specific functional roles
GSE228168	2024	Y	10.1038/s41467-024-46596-y	geo	Homo sapiens; Mus musculus	Full-length Sequencing of Non-capped RNAs Reveals the Heterogeneity of RNA Processing and Novel Classes of Noncoding RNA
GSE220470	2024	N	10.1038/s41587-023-01749-0	geo	Homo sapiens	RIP-PEN-SHAPE-MaP for 15.5K-interacted RNAs
GSE228970	2024	Y	10.1038/s41467-024-54674-4	geo	Mus musculus	Promotion of TLR7-MyD88-dependent Inflammation and Autoimmunity through Stem-loop Changes in Lnc-Atg16l1
GSE243220	2024	Y	10.1038/s41467-024-45517-3	geo+lit	Homo sapiens	In-cell structure analysis of antisense Gadd45α SINEB2-a deletion mutants
GSE224534	2024	Y	10.1038/s41467-024-45517-3	geo+lit	Homo sapiens	In-cell RNA secondary structure analysis of functional SINE transcripts
GSE219083	2024	N	10.1016/j.molcel.2024.04.015	geo+lit	Mus musculus	G-quadruplex folding in Xist RNA antagonizes PRC2 activity for step-wise regulation of X-chromosome inactivation
GSE219079	2024	N	10.1016/j.molcel.2024.04.015	geo+lit	Mus musculus	Epigenetic regulation by dynamic RNA G-quadruplex folding and unfolding (DMS-Seq)
GSE271825	2024	Y	10.7554/elife.98540	geo+lit	Homo sapiens; synthetic construct	RNA tertiary structure and conformational dynamics revealed by BASH MaP
GSE254895	2024	Y	10.1261/rna.079974.124	geo+lit	Escherichia coli	A new reagent for in vivo structure probing of RNA G and U residues that improves RNA structure prediction alone and com
GSE246523	2024	N	10.1126/science.adm9238	lit		The human mitochondrial mRNA structurome reveals mechanisms of gene expression.
GSE278422	2024	N	10.1021/acs.biochem.4c00343	lit		Fingerprinting Tertiary Structure in Complex RNAs Using Single-Molecule Correlated Chemical Probing.
GSE227250	2024	Y	10.1038/s41467-024-45517-3	lit		Decryption of sequence, structure, and functional features of SINE repeat elements in SINEUP non-coding RNA-mediated post-transcri
GSE224533	2024	Y	10.1038/s41467-024-45517-3	lit		Decryption of sequence, structure, and functional features of SINE repeat elements in SINEUP non-coding RNA-mediated post-transcri
GSE224018	2024	Y	10.1038/s41467-024-45517-3	lit		Decryption of sequence, structure, and functional features of SINE repeat elements in SINEUP non-coding RNA-mediated post-transcri
GSE219082	2024	N	10.1016/j.molcel.2024.04.015	lit		G-quadruplex folding in Xist RNA antagonizes PRC2 activity for stepwise regulation of X chromosome inactivation.
GSE219081	2024	N	10.1016/j.molcel.2024.04.015	lit		G-quadruplex folding in Xist RNA antagonizes PRC2 activity for stepwise regulation of X chromosome inactivation.
GSE219080	2024	N	10.1016/j.molcel.2024.04.015	lit		G-quadruplex folding in Xist RNA antagonizes PRC2 activity for stepwise regulation of X chromosome inactivation.
