pmid	doi	year	oa	pmcid	title
14722290	10.1128/jvi.78.3.1352-1366.2004	2004	N	PMC321395	A cis-acting replication element in the sequence encoding the NS5B RNA-dependent RNA polymerase is required for hepatitis C virus 
14970387	10.1261/rna.5161304	2004	N	PMC1370937	Evidence for a base triple in the free HIV-1 TAR RNA.
14532132	10.1093/emboj/cdg523	2003	N	PMC213777	A replication silencer element in a plus-strand RNA virus.
9843938	10.1073/pnas.95.25.14614	1998	N	PMC24498	Comparative analyses of the secondary structures of synthetic and intracellular yeast MFA2 mRNAs.
14970388	10.1261/rna.5174804	2004	N	PMC1370938	Secondary structure and function of the 5'-proximal region of the equine arteritis virus RNA genome.
9740131	10.1017/s1355838298980566	1998	N	PMC1369688	The 5S rRNA loop E: chemical probing and phylogenetic data versus crystal structure.
15491147	10.1021/bi049117g	2004	N		Global and local dynamics of the U1A polyadenylation inhibition element (PIE) RNA and PIE RNA-U1A complexes.
1752442	10.1101/gad.5.12b.2521	1991	N		Efficient association of U2 snRNPs with pre-mRNA requires an essential U2 RNA structural element.
10773091	10.1093/nar/28.10.2194	2000	N	PMC105364	Flanking sequences with an essential role in hydrolysis of a self-cleaving group I-like ribozyme.
14581537	10.1128/jvi.77.22.12002-12010.2003	2003	N	PMC253755	Conditional rather than absolute requirements of the capsid coding sequence for initiation of methionine-independent translation i
12515388	10.1017/s1355838202023038	2002	N	PMC1370361	The influence of viral coding sequences on pestivirus IRES activity reveals further parallels with translation initiation in proka
9826754	10.1093/nar/26.23.5318	1998	N	PMC148017	RNA structure adjacent to the attenuation determinant in the 5'-non-coding region influences poliovirus viability.
12930950	10.1093/nar/gkg721	2003	N	PMC212817	Structural motifs in the RNA encoded by the early nodulation gene enod40 of soybean.
10666253	10.1128/jvi.74.5.2227-2238.2000	2000	N	PMC111704	A structured RNA motif is involved in correct placement of the tRNA(3)(Lys) primer onto the human immunodeficiency virus genome.
10339401	10.1006/jmbi.1999.2762	1999	N		Cyanelle RNase P: RNA structure analysis and holoenzyme properties of an organellar ribonucleoprotein enzyme.
7547936	10.1021/bi00037a041	1995	N		Cooperative assembly of signal recognition particle RNA with protein SRP19.
9671049	10.1017/s1355838298971667	1998	N	PMC1369656	Binding of the 60-kDa Ro autoantigen to Y RNAs: evidence for recognition in the major groove of a conserved helix.
9582095	10.1017/s1355838298971758	1998	N	PMC1369637	Group I-like ribozymes with a novel core organization perform obligate sequential hydrolytic cleavages at two processing sites.
8849774		1996	N	PMC1369430	Structural and functional conservation of the Drosophila doublesex splicing enhancer repeat elements.
9740125	10.1017/s1355838298980670	1998	N	PMC1369682	Differential chemical probing of a group II self-splicing intron identifies bases involved in tertiary interactions and supports a
9698362	10.1021/bi980633e	1998	N		Thermodynamic stability of the P4-P6 domain RNA tertiary structure measured by temperature gradient gel electrophoresis.
8955899	10.1016/s0300-9084(96)80002-2	1996	N		Translational coupling in the Escherichia coli operon encoding translation initiation factor IF3 and ribosomal proteins L20 and L3
10567573	10.1128/mcb.19.12.8479	1999	N	PMC84957	Small cis-acting sequences that specify secondary structures in a chloroplast mRNA are essential for RNA stability and translation
15146081	10.1261/rna.5216204	2004	N	PMC1370589	Secondary structure models of the 3' untranslated regions of diverse R2 RNAs.
18428862	10.1002/0471142700.nc0601s00	2001	N	PMC3746551	Probing RNA structure with chemical reagents and enzymes.
15339906	10.1074/jbc.m405885200	2004	N		Structurally distinct elements mediate internal ribosome entry within the 5'-noncoding region of a voltage-gated potassium channel
14500816	10.1093/nar/gkg760	2003	N	PMC206460	Biochemical characterization of the kink-turn RNA motif.
15147192	10.1021/bi030237i	2004	N		The human T-cell lymphotropic virus type-I dimerization initiation site forms a hairpin loop, unlike previously characterized retr
15532034	10.1002/cbic.200400159	2004	N		Hoechst 33258 selectively inhibits group I intron self-splicing by affecting RNA folding.
12527767	10.1093/nar/gkg131	2003	N	PMC140497	The pathogenic U3271C human mitochondrial tRNA(Leu(UUR)) mutation disrupts a fragile anticodon stem.
2207137	10.1016/0167-4781(90)90151-q	1990	Y	PMC7148821	Transition of the mRNA sequence downstream from the initiation codon into a single-stranded conformation is strongly promoted by b
12549908	10.1021/bi026817h	2003	N		Differential helix stabilities and sites pre-organized for tertiary interactions revealed by monitoring local nucleotide flexibili
11287621	10.1128/mcb.21.9.3166-3178.2001	2001	N	PMC86947	RNA polymerase III transcription complexes on chromosomal 5S rRNA genes in vivo: TFIIIB occupancy and promoter opening.
15276830	10.1016/j.jmb.2004.05.076	2004	N		A conserved element in the yeast RNase MRP RNA subunit can participate in a long-range base-pairing interaction.
14561883	10.1261/rna.5950603	2003	N	PMC1287055	Structural organization of a viral IRES depends on the integrity of the GNRA motif.
9498566	10.1093/oxfordjournals.jbchem.a021882	1997	N		Probing the secondary structure of MCS4 RNA of Mycoplasma capricolum.
11931849	10.1016/s0006-2952(01)00897-8	2002	N		The distribution of copper, zinc- and manganese-superoxide dismutase, and glutathione peroxidase messenger ribonucleic acid in rat
11856330	10.1046/j.0014-2956.2001.02703.x	2002	N		Anti-(Raf-1) RNA aptamers that inhibit Ras-induced Raf-1 activation.
12166646	10.1017/s1355838202022057	2002	N	PMC1370308	Ribosomal proteins mediate the hepatitis C virus IRES-HeLa 40S interaction.
15250823	10.1042/bj20040792	2004	N	PMC1134079	The strong efficiency of the Escherichia coli gapA P1 promoter depends on a complex combination of functional determinants.
9861447	10.1080/15216549800204482	1998	N		Protein binding in vivo to OP2 promoter of the Pseudomonas putida TOL plasmid.
15317975	10.1261/rna.7020804	2004	N	PMC1370626	Solution structure of the pseudo-5' splice site of a retroviral splicing suppressor.
15763141	10.1016/j.virusres.2004.11.014	2005	Y	PMC7126611	Two cellular proteins that interact with a stem loop in the simian hemorrhagic fever virus 3'(+)NCR RNA.
15333691	10.1093/nar/gkh800	2004	N	PMC516069	Splicing affects presentation of RNA dimerization signals in HIV-2 in vitro.
9813121	10.1006/jmbi.1998.2181	1998	N		Order, dynamics and metal-binding in the lead-dependent ribozyme.
9485366	10.1021/bi972480l	1998	N		Nickel- and cobalt-dependent reagents identify structural features of RNA that are not detected by dimethyl sulfate or RNase T1.
15383680	10.1261/rna.7290904	2004	N	PMC1370649	Complex signals in the genomic 3' nontranslated region of bovine viral diarrhea virus coordinate translation and replication of th
12711683	10.1093/nar/gkg329	2003	N	PMC154215	RNA structure-dependent uncoupling of substrate recognition and cleavage by Escherichia coli ribonuclease III.
12857733	10.1074/jbc.m305580200	2003	N	PMC2635476	A single internal ribosome entry site containing a G quartet RNA structure drives fibroblast growth factor 2 gene expression at fo
13130137	10.1261/rna.5630203	2003	N	PMC1370487	A second functional RNA domain in the 5' UTR of the Tomato bushy stunt virus genome: intra- and interdomain interactions mediate v
12088147	10.1017/s1355838202022082	2002	N	PMC1370293	Phylogenetic analysis of the structure of RNase MRP RNA in yeasts.
12560480	10.1093/nar/gkg187	2003	N	PMC149207	Does the HIV-1 primer activation signal interact with tRNA3(Lys) during the initiation of reverse transcription?
10471735	10.1093/nar/27.18.3667	1999	N	PMC148621	An NMR and mutational analysis of an RNA pseudoknot of Escherichia coli tmRNA involved in trans-translation.
10688365	10.1017/s135583820099109x	2000	N	PMC1369912	Structure of the RNA inside the vesicular stomatitis virus nucleocapsid.
14583190	10.1016/j.jmb.2003.09.020	2003	N		Antisense-RNA mediated transcriptional attenuation: importance of a U-turn loop structure in the target RNA of plasmid pIP501 for 
15328609	10.1016/j.jmb.2004.06.084	2004	N		The solution structure of the VS ribozyme active site loop reveals a dynamic "hot-spot".
11782547	10.1073/pnas.012473199	2002	N	PMC117539	Translocation of Cockayne syndrome group A protein to the nuclear matrix: possible relevance to transcription-coupled DNA repair.
9478204		1997	N		Analysis of the structure and folding of the 3' genomic RNA of flaviviruses.
12954222	10.1016/s0042-6822(03)00349-0	2003	N		3'-Terminal RNA secondary structures are important for accumulation of tomato bushy stunt virus DI RNAs.
15123812	10.1073/pnas.0401799101	2004	N	PMC409911	Incorporating chemical modification constraints into a dynamic programming algorithm for prediction of RNA secondary structure.
