gse	class	year	n_runs	note	title
GSE285333	WIDE	2026	102	multi-site DMS probing in living cells; human/E. coli/Tetrahymena	Simultaneous mapping of RNA secondary, tertiary, and quaternary structure in living cells 
GSE255779	TARGETED	2025	8	18S rRNA	The integrated stress response finetunes 18S nonfunctional rRNA decay (DMS-MaPseq)
GSE254264	WIDE	2025	65	CoST-seq + DMS-MaPseq, yeast, glucose/galactose, biol reps	Rapid folding of nascent RNA regulates eukaryotic RNA biogenesis
GSE256185	TARGETED	2025	122	single RNA / amplicon / construct	Quantitative profiling of human translation initiation reveals elements that potently regu
GSE244468	WIDE	2025	42	HIV-1 infected cells; probing arm is the viral genome	The translational landscape of HIV-1 infected cells reveals key gene regulatory principles
GSE239954	TARGETED	2025	93	single RNA / amplicon / construct	Characterization of group I introns in generating circular RNAs as vaccines
GSE283716	TARGETED	2025	89	single RNA / amplicon / construct	Structural determinants of inverted Alu-mediated backsplicing revealed by -MaP and -JuMP
GSE248680	TARGETED	2025	40	single RNA / amplicon / construct	Therapeutic application of circular RNA aptamers in a mouse model of psoriasis
GSE248679	TARGETED	2025	22	EPIC circRNA constructs	circSHAPE-MaP of EPIC
GSE246246	TARGETED	2025	6	engineered circRNA constructs	NicOPURE: Nickless RNA Circularization and One-Step Purification with Engineered Group II 
GSE264057	TARGETED	2025	9	translational enhancer constructs	Cellular translational enhancer elements that recruit eukaryotic initiation factor 3
GSE279023	TARGETED	2025	4	JUN / EGFR 5UTR	Functional screen for mediators of onco-mRNA translation specificity [II]
GSE255740	TARGETED	2025	6	MYC 5UTR	Functional screen for mediators of onco-mRNA translation specificity [DMS-seq]
GSE188445	TARGETED	2025	47	single RNA / amplicon / construct	Structural features within the NORAD long noncoding RNA underlie efficient repression of P
GSE255784	TARGETED	2025	46	18S rRNA	The integrated stress response finetunes 18S nonfunctional rRNA decay
GSE283338	TARGETED	2025	68	single RNA / amplicon / construct	Proximity mediated effects of RNA regulatory proteins (mRNA as a proxisome).
GSE286293	TARGETED	2025	41	group II intron / RNase P / TPP constructs	A Small Cationic Probe for Accurate, Punctate Discovery of RNA Tertiary Structure.
GSE230495	TARGETED	2025	32	F8 exon 16 variants	OpenASO: RNA Rescue-designing splice-modulating antisense oligonucleotides through communi
GSE228168	BORDERLINE	2024	26	mostly NAPseq/CAPseq; one SHAPE-MaP NAI-N3 pair	Full-length Sequencing of Non-capped RNAs Reveals the Heterogeneity of RNA Processing and 
GSE220470	TARGETED	2024	8	15.5K-bound RNAs (RIP)	RIP-PEN-SHAPE-MaP for 15.5K-interacted RNAs
GSE228970	TARGETED	2024	33	single RNA / amplicon / construct	Promotion of TLR7-MyD88-dependent Inflammation and Autoimmunity through Stem-loop Changes 
GSE243220	TARGETED	2024	16	single RNA / amplicon / construct	In-cell structure analysis of antisense Gadd45α SINEB2-a deletion mutants
GSE224534	TARGETED	2024	20	single RNA / amplicon / construct	In-cell RNA secondary structure analysis of functional SINE transcripts
GSE219083	TARGETED	2024	54	single RNA / amplicon / construct	G-quadruplex folding in Xist RNA antagonizes PRC2 activity for step-wise regulation of X-c
GSE219079	TARGETED	2024	24	single RNA / amplicon / construct	Epigenetic regulation by dynamic RNA G-quadruplex folding and unfolding (DMS-Seq)
GSE271825	TARGETED	2024	30	AKT2 / pUG / Spinach constructs	RNA tertiary structure and conformational dynamics revealed by BASH MaP
GSE254895	WIDE	2024	33	new G/U reagent in vivo, E. coli, repA-C	A new reagent for in vivo structure probing of RNA G and U residues that improves RNA stru
GSE246523	WIDE	2024	4	human mitochondrial mRNA structurome (n=4, check replication)	The human mitochondrial mRNA structurome reveals mechanisms of gene expression.
GSE255191	BORDERLINE	2024	4	cortical neurons +/- bicuculline, only 4 runs	Alternative translation initiation produces synaptic organizer proteoforms with distinct l
GSE191144	TARGETED	2023	16	single RNA / amplicon / construct	Investigating the NRAS 5’ UTR as a Target for Small Molecules
GSE196625	TARGETED	2023	30	pre-rRNA amplicons	URB1 ensures 3' end processing of pre-rRNAs to prevent exosome-dependent degradation and i
GSE225730	BORDERLINE	2023	60	in vitro T7 E. coli tRNA pool - whole class but synthetic	tRNA structure-seq in peptide-rich droplets
GSE233607	WIDE	2023	9	E. coli in-cell DMS + EDC, control/DMS/EDC rep1-3	In vivo-like nearest neighbor parameters accurately predict fractional RNA base-pairing in
