gse	year	oa	src	n_runs	probe_hits	signal	doi	title	sample_titles
GSE327273	2026	Y	geo	5	4	STRONG	10.1111/pbi.70644	Stepwise DNA unwinding gates TnpB genome-editing activity	SHAPE-MaP of Ymu1 TnpB 127-nt reRNA (wild-type scaffold) | SHAPE-MaP of Ymu1 TnpB short reRNA scaffold | SHAPE-MaP of Ymu1 TnpB short reRNA scaffold | SHAPE-MaP of Ymu1 TnpB 127-nt reRNA (wild-type scaffold) | Ymu1 TnpB reRNA expression from 200-nt scaffold, small RNA-seq
GSE285334	2026	N	geo+lit	3	1	WEAK	10.1016/j.molcel.2026.03.029	Simultaneous mapping of RNA secondary, tertiary, and quaternary structure in living cells by multi-site DMS probing II	HEK293T 7SK SDA Replicate 1 | HEK293T 7SK DMSO control | HEK293T 7SK SDA Replicate 2
GSE285333	2026	N	geo+lit	102	54	STRONG	10.1016/j.molcel.2026.03.029	Simultaneous mapping of RNA secondary, tertiary, and quaternary structure in living cells by multi-site DMS probing I	1x dms sub-saturated TPP EtOH | 1x dms sub-saturated TPP rep 1 DMS | 1x dms no ligand TPP DMS | 1x dms saturated TPP DMS | RPE1 in cell 7SK rep3 DMS | RPE1 in cell 7SK rep2 EtOH | RPE1 in cell 7SK rep1 EtOH | RPE1 in cell 7SK rep1 DMS | RPE1 Cell free 7SK rep2 DMS | RPE1 Cell free 7SK EtOH | Cell Free U1+U2 snRNA rep1 DMS | 23S rRNA amplicon 0.5 mM MnCl pH8.3 RT | 16S rRNA amplicon 3 mM MnCl pH8.3 RT | 16S rRNA amplicon 2 mM MnCl pH9 RT | 16S rRNA amplicon 1 mM MnCl pH7.5 RT | cell free ecoli rRNA rep2 EtOH | p4-p6 tenmM MgCl2 rep2 DMS | In cell U1+U2 snRNA rep2 DMS | in cell U1+U2 snRNA EtOH 
GSE271937	2025	Y	geo	1	1	WEAK	10.1038/s41588-025-02347-3	DNA language models reveal the architecture of nucleotide dependencies in genomes	DMS-MaPseq of E. coli DH10b, exponential phase, 37°C (mRNA)
GSE255779	2025	N	geo	8	4	STRONG	10.1016/j.molcel.2025.01.017	The integrated stress response finetunes 18S nonfunctional rRNA decay (DMS-MaPseq)	dmswtr1 | etohwtr1 | etohmutr2 | dmsmutr2 | dmsmutr1 | etohwtr2 | etohmutr1 | dmswtr2
GSE254264	2025	N	geo+lit	65	56	STRONG	10.1016/j.molcel.2025.02.025	Rapid folding of nascent RNA regulates eukaryotic RNA biogenesis	CoSTseq, YKW100, dms treated, glucose, biol rep 1 | CoSTseq, YKW100, dms treated, galactose, biol rep 1 | DMS-MaPseq, stm1∆, dms treated, biol rep 3 | DMS-MaPseq, stm1∆, dms treated, biol rep 2 | DMS-MaPseq, dbp7∆, dms treated, biol rep 2 | DMS-MaPseq, dbp3∆, dms treated, biol rep 1 | DMS-MaPseq, wildtype, untreated, biol rep 1 | CoSTseq, stm1∆, dms treated, biol rep 1 | CoSTseq, dbp7∆, dms treated, biol rep 3 | CoSTseq, spt4∆, dms treated, biol rep 3 | CoSTseq, spt4∆, dms treated, biol rep 1 | CoSTseq, wildtype, untreated, biol rep 1 | DMS-MaPseq, dst1∆, dms treated, biol rep 3 | DMS-MaPseq, 
GSE256185	2025	N	geo	122	18	STRONG	10.1016/j.molcel.2024.11.030	Quantitative profiling of human translation initiation reveals elements that potently regulate endogenous and therapeuti	Illumina NovaSeq 6000 sequencing: GSM8087275: CleanCap, Unmod, minitralize, total RNA input Homo sapiens OTHER | Illumina NovaSeq 6000 sequencing: GSM8087273: CleanCap, Unmod, monosme fraction, minitralize rep1 Homo sapiens OTHER | DMSMapseq, CleanCap, denatured | Illumina HiSeq 2500 sequencing: GSM8087271: DMSMapseq, VCE, denatured synthetic construct OTHER | Illumina HiSeq 2500 sequencing: GSM8087271: DMSMapseq, VCE, denatured synthetic construct OTHER | Illumina NovaSeq 6000 sequencing: GSM8087270: DMSMapseq, CleanCap, noDMS synthetic construct OTHER | DMSMapseq, VCE, noDMS | DMSMapseq, VCE
GSE244468	2025	Y	geo	42	4	STRONG	10.1038/s41594-024-01468-3	The translational landscape of HIV-1 infected cells reveals key gene regulatory principles	SupT1 infected, RNASeq, 16hpi, rep1 | SupT1 infected, RNASeq, 8hpi, rep1 | SupT1 mock, RNASeq, 0hpi, rep2 | SupT1 mock, RNASeq, 0hpi, rep1 | SupT1 infected, DisomeSeq, cyclo, 24hpi, rep2 | SupT1 infected, DisomeSeq, cyclo, 8hpi, rep1 | SupT1 infected, RiboSeq, cyclo, 24hpi, rep2 | SupT1 infected, RiboSeq, cyclo, 16hpi, rep2 | SupT1 infected, RiboSeq, cyclo, 16hpi, rep1 | SupT1 infected, RiboSeq, cyclo, 8hpi, rep1 | SupT1 mock, RiboSeq, cyclo, 0hpi, rep2 | SupT1 mock, RiboSeq, cyclo, 0hpi, rep1 | SupT1 infected, DMS-Seq, 24hpi, ethanol, rep2 | SupT1 infected, DMS-Seq, 24hpi, DMS, rep1 | SupT1 i
GSE270001	2025	Y	geo	42	42	STRONG	10.1038/s41467-025-59657-7	 Tick-borne flavivirus exoribonuclease-resistant RNAs contain a double loop structure	Illumina NovaSeq 6000 sequencing: GSM8332605: sfRNA2, 1m7 noMod control , Rep4 Powassan virus OTHER | Illumina NovaSeq 6000 sequencing: GSM8332594: sfRNA2 , DMS treated, Rep3 Powassan virus OTHER | sfRNA1, 1m7 noMod control , Rep1 | Illumina NovaSeq 6000 sequencing: GSM8332583: sfRNA1, DMS noMod control , Rep3 Powassan virus OTHER | sfRNA2 , 1m7 treated, Rep4 | Illumina NovaSeq 6000 sequencing: GSM8332602: sfRNA2 , 1m7 treated, Rep3 Powassan virus OTHER | sfRNA2, 1m7 noMod control , Rep2 | Illumina NovaSeq 6000 sequencing: GSM8332599: sfRNA2, 1m7 noMod control , Rep1 Powassan virus OTHER | Ill
GSE239954	2025	Y	geo	93	48	STRONG	10.1093/nar/gkaf089	Characterization of group I introns in generating circular RNAs as vaccines	Rnl2_Gluc | Sh_Gluc | An_Gluc | E1E2_Po_circular | E1E2_Sh_linear | Group1_Introns_Replicate3_denat | Group1_Introns_Replicate3_denat | Group1_Introns_Replicate3_NAI | Group1_Introns_Replicate3_NAI | Group1_Introns_Replicate3_DMSO | Group1_Introns_Replicate2_denat | Group1_Introns_Replicate2_denat | Group1_Introns_Replicate2_NAI | Group1_Introns_Replicate2_DMSO | Group1_Introns_Replicate1_denat | Group1_Introns_Replicate1_denat | Group1_Introns_Replicate1_NAI | Split_Group1_Introns_Replicate3_NAI | Split_Group1_Introns_Replicate3_DMSO | Split_Group1_Introns_Replicate2_denat | Split_Group1_Intr
GSE283716	2025	Y	geo+lit	89	89	STRONG	10.1093/nar/gkaf433	Structural determinants of inverted Alu-mediated backsplicing revealed by -MaP and -JuMP	dAluSq2, SHAPE-JuMP experiment, AMT-treated, primer RT3 | dAluSq2, SHAPE-JuMP experiment, AMT-treated, primer RT1 | d189AluSq2, SHAPE-JuMP experiment, untreated, primer RT3, replicate 2 | dAluSz, SHAPE-JuMP experiment, AMT-treated, primer RT1 | d189AluSq2, SHAPE-JuMP experiment, untreated, primer RT1, replicate 2 | d157AluSq2, SHAPE-JuMP experiment, untreated, primer RT3, replicate 2 | d157AluSq2, SHAPE-JuMP experiment, AMT-treated, primer RT3, replicate 2 | d157AluSq2, SHAPE-JuMP experiment, untreated, primer RT1, replicate 2 | d157AluSq2, SHAPE-JuMP experiment, untreated, primer RT1, replica
GSE248680	2025	N	geo	40	17	STRONG	10.1038/s41587-024-02204-4	Therapeutic application of circular RNA aptamers in a mouse model of psoriasis	EPIC-LNP DMSO | EPIC-LNP DC | EPIC-LNP NAI,repeat1 | EPIC-Cy5 DMSO | EPIC-Cy5 DC | EPIC-Cy5 NAI,repeat1 | EPIC-3 DMSO | EPIC-3 NAI,repeat2 | EPIC-2 DMSO | EPIC-PKR NAI,repeat2 | WT mouse with 5 days IMQ treatment ,repeat2 | WT mouse with 2 days IMQ treatment ,repeat2 | WT mouse with 2 days IMQ treatment ,repeat1 | WT mouse with 1 day IMQ treatment ,repeat2 | WT mouse with 1 day IMQ treatment ,repeat1 | WT mouse with 0 day IMQ treatment ,repeat1 | EPIC-PKR NAI,repeat1 | EPIC-1 DC | EPIC-1 NAI,repeat 1 | PKR KO mouse with 2 days IMQ treatment ,repeat2 | PKR KO mouse with 1 day IMQ treatment ,rep
