year_range	doi	pub_year	open_access	pmcid	accession	title
2022-2023	10.1016/bs.mie.2023.03.021	2023	N			Sequencing-based analysis of RNA structures in living cells with 2A3 via SHAPE-MaP.
2022-2023	10.1007/978-1-0716-3191-1_6	2023	N			Chemical Probing of RNA Structure In Vivo Using SHAPE-MaP and DMS-MaP.
2022-2023	10.1007/s00018-023-04764-1	2023	Y	PMC10153785		In vivo secondary structural analysis of Influenza A virus genomic RNA.
2022-2023	10.1093/nar/gkad522	2023	Y	PMC10484685	GSE225383	Mutation signature filtering enables high-fidelity RNA structure probing at all four nucleobases with DMS.
2022-2023	10.1128/jvi.00635-23	2023	Y	PMC10308922	PRJNA936272	The Highly Conserved Stem-Loop II Motif Is Dispensable for SARS-CoV-2.
2022-2023	10.3390/ijms24097890	2023	Y	PMC10178110	PRJEB60419	The Evaluation of SHAPE-MaP RNA Structure Probing Protocols Reveals a Novel Role of Mn<sup>2+</sup> in the Detection of 2'-OH Adducts.
2022-2023	10.1016/j.csbj.2023.10.036	2023	Y	PMC10632597		Comprehensive in virio structure probing analysis of the influenza A virus identifies functional RNA structures involved in viral genome replication.
2022-2023	10.1016/bs.mie.2023.06.003	2023	N			RNA G-quadruplex (rG4) structure detection using RTS and SHALiPE assays.
2022-2023	10.1093/nar/gkac435	2022	Y	PMC9252807		Web-based platform for analysis of RNA folding from high throughput chemical probing data.
2022-2023	10.1038/s41467-022-31875-3	2022	Y	PMC9307511	GSE117840	Differential analysis of RNA structure probing experiments at nucleotide resolution: uncovering regulatory functions of RNA structure.
2022-2023	10.1073/pnas.2201237119	2022	Y	PMC9231505		Genome-wide analysis of the <i>in vivo</i> tRNA structurome reveals RNA structural and modification dynamics under heat stress.
2022-2023	10.1007/978-1-0716-1851-6_16	2022	N			In Vivo RNA Structure Probing with DMS-MaPseq.
2022-2023	10.1038/s41467-023-43395-9	2023	Y	PMC10687018	PRJNA929456	Observation of coordinated RNA folding events by systematic cotranscriptional RNA structure probing.
2022-2023	10.1007/978-1-0716-2421-0_17	2022	N			Cotranscriptional RNA Chemical Probing.
2022-2023	10.3791/64820	2022	N			Probing RNA Structure with Dimethyl Sulfate Mutational Profiling with Sequencing In Vitro and in Cells.
2022-2023	10.1007/978-1-0716-2413-5_14	2022	N			Determination of RNA Structure with In Vitro SHAPE Experiments.
2022-2023	10.1016/j.ymeth.2022.05.001	2022	N	PMC10152975		Using DMS-MaPseq to uncover the roles of DEAD-box proteins in ribosome assembly.
2022-2023	10.1261/rna.079687.123	2023	Y	PMC10578495	GSE229536	In vivo structure probing of RNA in <i>Archaea</i>: novel insights into the ribosome structure of <i>Methanosarcina acetivorans</i>.
2022-2023	10.1038/s41592-023-01862-7	2023	Y	PMC10250195	SRP424422	Nano-DMS-MaP allows isoform-specific RNA structure determination.
2022-2023	10.1371/journal.pone.0288070	2023	Y	PMC10328344		RNA structural probing of guanine and uracil nucleotides in yeast.
2022-2023	10.1186/s12859-022-05037-7	2022	Y	PMC9783404	GSE60034	Deciphering the role of RNA structure in translation efficiency.
2022-2023	10.1016/j.jmb.2022.167635	2022	N			Computational Approaches for RNA Structure Ensemble Deconvolution from Structure Probing Data.
