doi	accession	gate	reason
10.1016/j.jbc.2026.113194	PRJNA1446773	scope-viral	SARS-CoV-2 5'UTR stem-loops only: in vitro-transcribed fragments, amplicon libraries
10.1038/s41467-025-59657-7	GSE270001	scope-viral	Powassan 3'UTR/sfRNA constructs (DMS and 1M7 arms)
10.1093/nar/gkaf290	PRJNA1182414	scope-viral	HIV-1 RRE in vitro, synthetic construct
10.1073/pnas.2320493121	PRJNA1039878	scope-viral	SARS-CoV-2 SL5 truncations and cross-coronavirus SL5 design library
10.1016/j.cell.2025.12.030	GSE290478	scope	Ro60/La: in vitro SHAPE-MaP of transcribed pre-5S rRNAs only; GSE290478 holds 2 RIP-seq runs, no probing reads
10.1261/rna.080976.126		scope	in-cell SHAPE-MaP of TP53 mRNA only; genome-wide data is plain RNA-seq
10.1016/j.jmb.2023.168417		scope	Physcomitrium telomerase RNA only
10.1016/j.ymeth.2022.05.001		scope	DEAD-box ribosome-assembly Methods chapter; pre-rRNA only
10.1016/j.molcel.2024.02.005	GSE254361	scope	pri-miRNA panel (targeted)
10.1021/acschembio.4c00538	GSE261913	scope	COX1 amplicons (targeted)
10.1002/cpz1.70038	GSE250290	scope	lncRNA PANDA (targeted)
10.1038/s41592-024-02335-1	GSE266070	scope	RORC 3'UTR amplicon; probing mixed with functional-screen bins
10.1093/nar/gkae494	PRJNA1072546	scope	Ty3 retrotransposon gRNA only
10.1261/rna.080488.125	GSE243328	scope	lncRNA SChLAP1 only
10.1038/s41467-025-56149-6	GSE245536	scope	telomerase RNA hTR only
10.1093/nar/gkae220	PRJNA1048882	scope	androgen receptor FL/V7 amplicons
10.15252/embr.202256021	PRJNA855586	scope	miR-17-92 cluster amplicons
10.1021/acscentsci.2c00149	PRJNA767082	scope	preQ1 riboswitch-ligand constructs
10.1186/s13059-024-03186-x	PRJNA1049869	scope	3'-end target-specific capture of transgene constructs
10.1038/s41467-026-69648-x	PRJNA938111	scope	glycine riboswitch, TECprobe cotranscriptional (single RNA)
